test3clickUI;test3clickdata;test3clickundo;test3clickredo;testWriteUI1s;testWriteData;testDnDDeltaMoveUI;testDnDDeltaMoveData;testDnDExactMove;testDnDUndo;testDnDRedo;2undo2redo;Note;Q1-1 TIME;Q1-2 TIME;Q1 TIME;Q1 TIME-LIMIT;Q2 TIME;Q2 TIME-LIMIT;Q3-1 TIME;Q3-2 TIME;Q3 TIME;Q3 TIME-LIMIT;Q1-1 LVL;Q1-2 LVL;Q2 LVL;Q3-1 LVL;Q3-2 LVL
1;1;1;1;0;0;0;0;0;0;0;0;;464;576;1040;1040;1334;1200;215;2153;2368;2368;2;3;4;1;7
0;0;0;0;0;1;1;0;0;0;0;0;;;;;;1370;1200;723;1823;2546;2400;5;5;4;8;8
1;1;1;1;0;0;1;0;1;0;0;0;;1137;554;1691;1691;1619;1200;;;;;8;3;9;1;8
1;1;1;1;0;1;1;0;1;;;0;;410;1481;1891;1891;1320;1200;2476;;2476;2400;1;5;9;8;
0;0;0;0;0;0;1;1;0;0;0;0;;900;1563;2463;2100;1057;1057;223;2081;2304;2304;4;7;8;1;9
1;1;1;1;1;1;0;0;0;0;0;0;;1202;612;1814;1814;1499;1200;203;1992;2195;2195;3;3;5;1;6
1;1;0;0;1;1;1;1;0;;;0;;453;1662;2115;2100;1350;1200;2215;;2215;2215;4;6;3;7;
1;1;1;1;1;1;1;1;1;1;1;1;;658;1369;2027;2027;646;646;50;3132;3182;2400;2;6;4;3;10
0;0;0;0;1;1;1;1;0;0;0;0;;648;841;1489;1489;1160;1160;647;1216;1863;1863;1;4;5;2;7
1;1;0;0;1;1;1;1;0;0;0;0;;1200;1207;2407;2100;888;888;2575;;2575;2400;1;1;2;2;3
1;1;1;0;0;0;1;0;1;0;0;0;;;;;;1379;1200;382;1992;2374;2374;3;4;;1;7
1;1;1;1;1;1;1;1;0;;;0;;;;;;1887;1200;2681;;2681;2400;3;6;7;8;
1;1;;;0;0;1;0;1;0;0;0;;2078;;2078;2078;1045;1045;497;1872;2369;2369;7;;5;3;10
0;1;;;0;1;1;0;1;0;0;0;;2021;;2021;2021;1185;1185;429;2227;2656;2400;8;;9;3;9
0;1;0;0;0;1;1;0;1;0;0;0;;665;1279;1944;1944;1222;1200;339;2144;2483;2400;1;6;9;1;9
1;1;0;0;1;0;1;1;0;;;0;;1806;536;2342;2100;1147;1147;2183;;2183;2183;7;6;7;8;
0;1;;;0;1;1;0;1;;;0;;;;;;2145;1200;2012;;2012;2012;9;;8;10;
1;1;1;1;1;1;1;1;0;1;1;1;;2225;;2225;2100;890;890;276;2888;3164;2400;1;3;2;1;6
1;1;0;0;0;0;1;0;1;;;0;;1883;605;2488;2100;1612;1200;2320;;2320;2320;4;6;8;8;
1;1;1;0;0;0;1;0;1;;;0;;2055;635;2690;2100;1263;1200;398;1864;2262;2262;4;5;7;7;
1;1;1;1;0;0;1;0;1;0;0;0;;707;1402;2109;2100;1616;1200;2286;;2286;2286;3;6;3;7;7
1;1;1;1;1;1;1;1;0;1;1;1;;1541;194;1735;1735;772;772;1189;1441;2630;2400;5;6;3;1;7
